0,425,3.0,2004-04-14,6
0,566,3.0,2005-09-27,7
0,161,5.0,2005-08-17,7
1,228,4.0,2004-05-18,6
1,587,5.0,2005-09-27,7
1,650,4.0,2004-02-09,6
2,170,1.0,2005-01-25,7
3,566,4.0,2005-09-09,7
3,123,3.0,2005-11-30,7
4,664,4.0,2004-06-06,6
5,228,3.0,2005-04-05,7
5,372,2.0,2005-05-12,7
5,126,1.0,2005-10-10,7
5,561,4.0,2005-07-12,7
5,617,2.0,2005-12-13,7
5,320,5.0,2005-06-20,7
5,348,3.0,2005-04-19,7
5,1,5.0,2005-07-30,7
5,632,3.0,2005-05-10,7
5,566,1.0,2005-09-27,7
5,54,3.0,2005-09-22,7
5,579,5.0,2005-06-30,7
5,541,2.0,2005-10-07,7
5,614,4.0,2005-07-24,7
5,129,1.0,2005-08-22,7
5,132,4.0,2005-05-18,7
5,399,3.0,2005-08-23,7
5,558,1.0,2005-05-09,7
5,576,2.0,2005-03-21,7
6,597,3.0,2004-06-29,6
7,388,3.0,2005-07-18,7
7,566,3.0,2005-07-25,7
8,152,2.0,2005-08-03,7
8,372,2.0,2005-06-30,7
8,335,3.0,2005-09-18,7
8,429,3.0,2005-09-28,7
8,670,2.0,2005-07-25,7
8,80,2.0,2005-09-19,7
8,90,3.0,2005-08-08,7
8,160,4.0,2005-10-24,7
8,566,2.0,2005-11-12,7
8,691,1.0,2005-07-28,7
8,614,3.0,2005-08-22,7
8,400,3.0,2005-08-18,7
8,459,2.0,2005-08-16,7
9,228,4.0,2004-08-13,6
9,396,4.0,2004-01-12,6
9,391,3.0,2004-11-29,6
9,659,3.0,2004-11-04,6
9,314,2.0,2005-02-08,7
9,698,4.0,2000-03-16,2
9,351,3.0,2004-05-06,6
9,208,4.0,2005-07-11,7
9,198,3.0,2005-07-14,7
9,164,4.0,2005-04-07,7
9,321,4.0,2004-11-12,6
9,478,2.0,2002-04-05,4
9,281,5.0,2005-07-01,7
9,74,4.0,2005-12-05,7
9,455,3.0,2005-02-18,7
10,698,4.0,2002-09-10,4
10,566,1.0,2005-07-25,7
10,282,2.0,2002-12-31,4
11,495,5.0,2004-08-07,6
12,228,3.0,2004-08-13,6
12,433,2.0,2004-08-31,6
12,510,3.0,2004-08-23,6
