196,242,3,1997-12-04 15:55:49,4
186,302,3,1998-04-04 19:22:22,8
22,377,1,1997-11-07 07:18:36,3
244,51,2,1997-11-27 05:02:03,3
166,346,1,1998-02-02 05:33:16,6
298,474,4,1998-01-07 14:20:06,5
115,265,2,1997-12-03 17:51:28,4
253,465,5,1998-04-03 18:34:27,8
305,451,3,1998-02-01 09:20:17,6
6,86,3,1997-12-31 21:16:53,4
62,257,2,1997-11-12 22:07:14,3
200,222,5,1997-10-05 09:05:40,2
210,40,3,1998-03-27 21:59:54,7
224,29,3,1998-02-21 23:40:57,6
122,387,5,1997-11-11 17:47:39,3
194,274,2,1997-11-14 20:36:34,3
119,392,4,1998-01-30 16:13:34,5
167,486,4,1998-04-16 14:54:12,8
299,144,4,1997-10-26 15:55:20,2
291,118,2,1997-09-21 09:24:38,1
308,1,4,1998-02-17 17:28:52,6
38,95,5,1998-04-13 01:14:54,8
63,277,4,1997-10-01 23:10:01,2
160,234,5,1997-10-14 20:33:05,2
50,246,3,1997-10-17 01:38:49,2
301,98,4,1997-12-14 05:03:47,4
225,193,4,1997-11-14 20:35:27,3
290,88,4,1997-11-28 15:46:03,3
97,194,3,1998-01-08 05:54:20,5
157,274,4,1998-02-07 22:33:55,6
7,32,4,1998-03-31 13:28:52,7
10,16,4,1997-10-26 18:01:17,2
284,304,4,1998-01-20 20:48:42,5
287,327,5,1997-09-27 04:18:36,1
246,201,5,1998-01-16 03:33:14,5
249,241,5,1997-11-16 00:46:34,3
99,4,5,1998-02-03 15:18:17,6
178,332,3,1997-12-22 20:43:57,4
251,100,4,1998-01-31 18:38:04,5
81,432,2,1997-10-11 01:58:51,2
260,322,4,1998-03-23 02:08:18,7
25,181,5,1998-01-26 22:23:35,5
59,196,5,1998-02-23 03:38:08,6
87,384,4,1997-11-18 18:18:47,3
290,143,5,1997-11-25 16:11:33,3
42,423,5,1997-12-03 00:08:07,4
115,20,3,1997-12-03 17:43:29,4
20,288,1,1997-11-16 08:06:24,3
201,219,4,1998-01-06 18:51:13,5
138,26,5,1997-11-08 21:23:52,3
167,232,1,1998-04-16 14:52:21,8
60,427,5,1997-12-28 16:30:20,4
57,304,5,1998-01-01 23:49:41,5
223,274,4,1998-04-02 20:48:14,8
243,15,3,1997-11-20 00:57:20,3
246,416,3,1998-01-16 03:57:27,5
194,165,4,1997-11-14 22:32:03,3
178,248,4,1997-12-22 20:52:34,4
293,5,3,1998-03-03 06:29:36,7
127,229,5,1998-01-09 16:54:27,5
225,237,5,1997-11-14 20:34:03,3
299,229,3,1997-10-30 06:20:29,2
225,480,5,1997-11-14 20:52:28,3
276,54,3,1997-09-20 21:30:25,1
291,144,5,1997-09-21 09:44:51,1
222,366,4,1997-10-30 03:49:41,2
42,403,3,1997-12-03 00:24:44,4
11,111,4,1998-04-06 23:04:22,8
8,338,4,1997-11-12 19:11:13,3
162,25,4,1997-10-23 19:39:33,2
279,154,5,1997-09-26 17:51:31,1
145,275,2,1998-01-23 12:11:45,5
62,498,4,1997-11-12 22:30:48,3
62,382,3,1997-11-12 22:58:57,3
28,209,4,1997-12-12 21:13:34,4
135,23,4,1997-11-18 12:56:05,3
32,294,3,1998-01-02 02:57:43,5
90,382,5,1998-03-31 22:37:15,7
286,208,4,1997-10-22 14:52:22,2
216,144,4,1997-11-22 21:37:19,3
166,328,5,1998-02-02 05:35:22,6
250,496,4,1997-10-29 02:01:39,2
271,132,5,1998-01-26 21:04:32,5
160,174,5,1997-10-14 20:26:47,2
265,118,4,1997-09-27 00:38:34,1
198,498,3,1998-01-07 21:11:32,5
42,96,5,1997-12-02 23:59:38,4
168,151,5,1998-01-08 19:34:18,5
110,307,4,1998-02-09 01:21:00,6
58,144,4,1998-01-09 00:15:36,5
271,346,4,1998-01-26 19:53:50,5
62,21,3,1997-11-12 22:24:20,3
128,485,3,1997-11-19 19:14:55,3
