200u,222i,5
299u,144i,4
291u,118i,2
63u,277i,4
160u,234i,5
50u,246i,3
10u,16i,4
287u,327i,5
81u,432i,2
299u,229i,3
276u,54i,3
291u,144i,5
222u,366i,4
162u,25i,4
279u,154i,5
286u,208i,4
250u,496i,4
160u,174i,5
265u,118i,4
250u,264i,3
250u,140i,3
286u,379i,5
299u,111i,3
160u,135i,4
10u,486i,4
259u,117i,4
68u,117i,4
172u,177i,4
268u,231i,4
5u,2i,3
43u,137i,4
119u,328i,4
276u,322i,3
130u,379i,4
130u,216i,4
92u,77i,3
259u,255i,4
148u,408i,5
299u,14i,4
294u,109i,4
286u,171i,4
92u,172i,4
63u,242i,3
279u,68i,4
250u,7i,4
119u,237i,5
268u,2i,2
268u,145i,1
297u,133i,4
275u,98i,4
218u,209i,5
119u,222i,5
222u,118i,4
145u,237i,5
23u,385i,4
16u,64i,5
222u,77i,4
270u,452i,4
145u,15i,2
200u,304i,5
1u,160i,4
23u,323i,2
218u,430i,3
276u,2i,4
286u,237i,2
92u,229i,3
16u,197i,5
222u,151i,3
207u,258i,4
10u,175i,3
43u,323i,3
268u,62i,3
180u,462i,5
275u,405i,2
222u,97i,4
268u,436i,3
160u,460i,2
5u,17i,4
23u,196i,2
291u,80i,4
250u,238i,4
287u,1i,5
286u,288i,5
222u,278i,2
221u,475i,4
299u,303i,3
63u,289i,2
92u,168i,4
130u,109i,3
276u,57i,3
21u,370i,1
276u,142i,3
119u,382i,5
21u,222i,2
276u,40i,3
307u,94i,3
10u,7i,4
279u,399i,4
118u,200i,5
10u,100i,5
276u,70i,4
276u,417i,4
306u,235i,4
222u,26i,3
1u,202i,5
173u,289i,4
207u,13i,3
101u,304i,3
5u,225i,2
276u,188i,4
222u,173i,5
299u,134i,4
222u,49i,3
286u,153i,5
268u,147i,4
268u,217i,2
16u,55i,5
276u,64i,5
276u,181i,5
268u,21i,3
286u,99i,4
207u,318i,5
306u,287i,4
286u,357i,4
92u,121i,5
21u,440i,1
270u,25i,5
188u,143i,5
276u,294i,4
10u,461i,3
21u,129i,4
113u,126i,5
173u,328i,5
16u,194i,5
279u,122i,1
286u,298i,4
222u,448i,3
297u,57i,5
21u,447i,5
270u,98i,5
68u,237i,5
286u,175i,5
221u,48i,5
222u,379i,1
218u,208i,3
160u,462i,4
195u,273i,4
5u,110i,1
222u,53i,5
24u,64i,5
82u,477i,3
16u,8i,5
180u,202i,3
145u,56i,5
148u,1i,4
21u,164i,5
297u,89i,4
1u,117i,3
233u,375i,4
222u,87i,3
275u,418i,3
130u,105i,4
286u,73i,5
297u,73i,2
24u,191i,5
207u,68i,2
188u,443i,4
276u,324i,4
207u,107i,3
291u,418i,4
207u,58i,3
297u,275i,5
297u,234i,3
250u,204i,2
5u,454i,1
