9u,698i,4.0
9u,478i,2.0
10u,698i,4.0
10u,282i,2.0
13u,606i,3.0
13u,534i,3.0
13u,280i,4.0
13u,500i,5.0
13u,255i,1.0
13u,464i,2.0
13u,698i,5.0
13u,33i,4.0
13u,262i,5.0
13u,547i,5.0
13u,408i,3.0
13u,96i,5.0
13u,510i,4.0
13u,538i,4.0
13u,649i,3.0
13u,147i,4.0
13u,680i,3.0
13u,650i,4.0
21u,122i,3.0
21u,461i,4.0
21u,246i,4.0
21u,647i,2.0
21u,576i,4.0
23u,662i,4.0
23u,331i,3.0
23u,500i,5.0
23u,464i,3.0
23u,698i,4.0
23u,246i,4.0
23u,647i,5.0
23u,417i,3.0
24u,597i,4.0
24u,576i,1.0
26u,380i,4.0
29u,464i,3.0
29u,680i,4.0
33u,85i,4.0
36u,500i,2.0
36u,698i,4.0
36u,75i,3.0
36u,647i,1.0
37u,500i,3.0
37u,698i,4.0
37u,33i,4.0
38u,61i,5.0
40u,244i,3.0
40u,500i,3.0
40u,597i,3.0
40u,576i,4.0
41u,510i,3.0
47u,429i,4.0
47u,96i,3.0
47u,472i,4.0
47u,650i,4.0
54u,353i,2.0
61u,662i,2.0
61u,122i,5.0
61u,510i,3.0
61u,478i,3.0
61u,417i,1.0
62u,404i,3.0
62u,292i,3.0
66u,510i,3.0
66u,576i,4.0
67u,264i,3.0
67u,597i,4.0
71u,647i,4.0
76u,48i,3.0
76u,500i,2.0
76u,698i,4.0
76u,158i,4.0
76u,597i,2.0
76u,246i,4.0
76u,336i,2.0
78u,331i,3.0
78u,500i,4.0
78u,255i,4.0
78u,8i,1.0
78u,698i,5.0
78u,33i,1.0
78u,45i,1.0
78u,246i,2.0
78u,336i,3.0
78u,318i,4.0
78u,506i,3.0
82u,158i,3.0
82u,370i,4.0
82u,541i,3.0
82u,96i,4.0
82u,352i,3.0
82u,576i,3.0
94u,119i,3.0
94u,597i,4.0
95u,583i,3.0
96u,85i,1.0
96u,662i,5.0
96u,432i,5.0
96u,51i,5.0
96u,191i,3.0
96u,331i,4.0
96u,48i,4.0
96u,637i,5.0
96u,294i,5.0
96u,627i,5.0
96u,158i,4.0
96u,292i,4.0
